architecture,scenario,method_id,method,allocation,selected_learning_rate,trainable_parameters,target_accuracy_mean,target_accuracy_std,target_macro_f1_mean,target_nll_mean,clean_accuracy_mean,validation_accuracy_mean,best_epoch_mean,train_seconds_sum,n_seeds
cnn,contrast,dora,DoRA,4-4-4-4,0.03,1990,0.9616666666666667,0.008764562641629042,0.9613009391969729,0.15131713598966598,0.7825,0.9658333333333333,29.3,11.579108191000614,10
cnn,contrast,frozen,Frozen,0-0-0-0,0.0,0,0.2777777777777778,0.0,0.18468722708785584,1.9121378660202026,0.975,0.2638888888888889,0.0,0.0,10
cnn,contrast,full,Full fine-tuning,0-0-0-0,0.0003,13706,0.9602777777777778,0.005406963452094974,0.9600994616606886,0.3950271561741829,0.7816666666666666,0.9702777777777778,43.0,10.204105808999884,10
cnn,contrast,lora,LoRA,4-4-4-4,0.03,1868,0.9647222222222223,0.007057718148207207,0.964504962335463,0.15228074342012404,0.9063888888888888,0.9675,26.9,8.77651689699951,10
cnn,contrast,lora_plus,LoRA+,4-4-4-4,0.0003,1868,0.9477777777777778,0.00794355947760267,0.9473156808745543,0.5230512350797654,0.7677777777777778,0.9605555555555556,17.9,7.10846093400005,10
cnn,contrast,magnitude,Magnitude-only,0-0-0-0,0.03,122,0.9697222222222223,0.0033256083326051963,0.9695578718774467,0.11906146481633187,0.8138888888888889,0.983611111111111,17.6,6.356892970000445,10
cnn,mixed,dora,DoRA,4-4-4-4,0.01,1990,0.8052777777777778,0.008328187711766253,0.8022187765723704,0.6143966019153595,0.8638888888888889,0.8255555555555555,32.0,10.96919421099983,10
cnn,mixed,frozen,Frozen,0-0-0-0,0.0,0,0.6333333333333333,0.0,0.6221184998536001,1.7732739448547363,0.975,0.6027777777777777,0.0,0.0,10
cnn,mixed,full,Full fine-tuning,0-0-0-0,0.001,13706,0.8066666666666666,0.010813926904189955,0.8040304496470625,0.6132628202438355,0.9016666666666667,0.8205555555555556,42.9,11.164119191999816,10
cnn,mixed,lora,LoRA,4-4-4-4,0.01,1868,0.7961111111111111,0.00990351256083035,0.7927615401312751,0.6748758435249329,0.861111111111111,0.8186111111111112,30.3,11.021982808999837,10
cnn,mixed,lora_plus,LoRA+,4-4-4-4,0.001,1868,0.795,0.014030145870278378,0.7924630411812565,0.6812297344207764,0.8719444444444445,0.8191666666666666,46.2,12.43984706899937,10
cnn,mixed,magnitude,Magnitude-only,0-0-0-0,0.03,122,0.7313888888888889,0.01064210778755158,0.7277205611301992,0.783439826965332,0.8997222222222222,0.7519444444444444,50.0,12.534898442000667,10
cnn,rotation,dora,DoRA,4-4-4-4,0.03,1990,0.9566666666666667,0.009550960709798252,0.9563830166556355,0.15976876392960548,0.8055555555555556,0.9550000000000001,31.1,10.198578918999829,10
cnn,rotation,frozen,Frozen,0-0-0-0,0.0,0,0.6027777777777777,0.0,0.5868226715851177,2.1164190769195557,0.975,0.6083333333333333,0.0,0.0,10
cnn,rotation,full,Full fine-tuning,0-0-0-0,0.001,13706,0.9574999999999999,0.006007825258336446,0.9573706985975005,0.15203369706869124,0.8433333333333334,0.945,91.5,18.776143340999624,10
cnn,rotation,lora,LoRA,4-4-4-4,0.03,1868,0.9530555555555555,0.006734480202210447,0.9527755887775035,0.18134255111217498,0.8219444444444445,0.9536111111111112,32.8,10.496375449000425,10
cnn,rotation,lora_plus,LoRA+,4-4-4-4,0.003,1868,0.9527777777777778,0.004536092116265173,0.9526285012908045,0.18627603054046632,0.8119444444444446,0.9502777777777778,51.5,13.72401908899974,10
cnn,rotation,magnitude,Magnitude-only,0-0-0-0,0.03,122,0.9044444444444444,0.011430592120008147,0.9035278026422102,0.3437009871006012,0.8438888888888888,0.8894444444444444,65.2,14.714056829001947,10
