architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
mlp,contrast,dora,DoRA,dora,4-4-4,0.003,1.0,2034,0.9527777777777778,0.004392052305789426,0.5002152144908905,11.2,1.8393911829998615,5
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,1798,0.953888888888889,0.0037267799624996958,0.5319059610366821,11.8,1.8852818810000826,5
mlp,contrast,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.7722222222222223,0.0,1.2006503343582153,0.0,0.0,5
mlp,contrast,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.9583333333333334,0.002777777777777768,0.3683391481637955,21.0,1.791807474000052,5
mlp,contrast,lora,LoRA,lora,4-4-4,0.003,1.0,1832,0.9516666666666665,0.0015214515486254637,0.6943363785743714,9.0,1.4360345439997673,5
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,2024,0.9527777777777778,0.005555555555555596,0.7072327375411988,7.8,1.3789963950000583,5
mlp,contrast,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,1832,0.9544444444444444,0.00464811125852269,0.8988070487976074,8.6,1.4534720949998245,5
mlp,contrast,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.9683333333333334,0.0015214515486254574,0.11971160471439361,17.4,1.5948011959999349,5
mlp,mixed,dora,DoRA,dora,4-4-4,0.03,1.0,2034,0.7733333333333333,0.024104325722129588,0.7428449392318726,15.8,1.990490848999798,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,1768,0.775,0.020879578303295693,0.7397659301757813,14.4,2.073199461000513,5
mlp,mixed,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.4805555555555555,0.0,3.288990020751953,0.0,0.0,5
mlp,mixed,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.7722222222222223,0.024453912307859746,0.9083261013031005,79.0,4.3323595130000285,5
mlp,mixed,lora,LoRA,lora,4-4-4,0.03,1.0,1832,0.7655555555555555,0.0129695750332542,0.9436532497406006,16.0,1.7366024319990174,5
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,2024,0.7755555555555556,0.01563965362251028,1.096580445766449,22.0,1.9824236820004444,5
mlp,mixed,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,1832,0.7622222222222221,0.017633966942337653,1.0407684206962586,31.0,2.3805598410003768,5
mlp,mixed,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.6966666666666667,0.015639653622510272,0.9186266183853149,95.6,4.815529698000319,5
mlp,rotation,dora,DoRA,dora,4-4-4,0.03,1.0,2034,0.9438888888888888,0.009899183156225235,0.21781789660453796,38.2,3.4834451529998205,5
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,1768,0.9427777777777777,0.007505142270059023,0.21200872957706451,36.2,3.118673552999553,5
mlp,rotation,frozen,Frozen,frozen,0-0-0,0.0,1.0,0,0.5111111111111111,0.0,4.242985725402832,0.0,0.0,5
mlp,rotation,full,Full fine-tuning,full,0-0-0,0.001,1.0,17226,0.928888888888889,0.005046083923495802,0.29560463428497313,93.4,5.155493757000158,5
mlp,rotation,lora,LoRA,lora,4-4-4,0.03,1.0,1832,0.9372222222222222,0.015035965114138182,0.255110090970993,24.6,2.2609675080000216,5
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,2024,0.9427777777777777,0.010504261333993865,0.26235739290714266,35.4,2.873977585000148,5
mlp,rotation,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,1832,0.93,0.0069166108877715266,0.28377304375171664,36.4,2.959531001999949,5
mlp,rotation,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.865,0.01369306393762915,0.4457555592060089,109.2,5.375322709999637,5
