per_class,adaptation_examples,method_id,method,accuracy_mean_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct,accuracy_std_pct,macro_f1_mean_pct,clean_accuracy_mean_pct,trainable_parameters,n_seeds
5,50,dora,DoRA,61.47222222222223,60.50661168095298,62.43783276349148,2.063206875736355,60.674517740653954,81.11111111111111,2034,20
5,50,dora_budgeted,DoRA (LoRA-budget ceiling),61.43055555555556,60.59303680571838,62.26807430539274,1.789514891739738,60.691634784837035,82.0138888888889,1768,20
5,50,lora,LoRA,61.0138888888889,60.141005396848215,61.886772380929585,1.8650782541456727,60.35276645684415,82.61111111111109,1832,20
5,50,lora_matched,LoRA (DoRA-matched budget),61.65277777777777,60.56143268424794,62.7441228713076,2.331862178940353,61.10215986409406,84.02777777777777,2024,20
5,50,lora_plus,LoRA+,59.01388888888889,58.13572222673492,59.892055551042866,1.8763667316814396,58.35602293940675,86.80555555555556,1832,20
10,100,dora,DoRA,65.81944444444443,64.5693016511106,67.06958723777825,2.671163058626331,65.33352247147994,78.41666666666669,2034,20
10,100,dora_budgeted,DoRA (LoRA-budget ceiling),66.48611111111111,65.26563585132521,67.70658637089701,2.6077728442633665,66.03280277705267,78.70833333333333,1768,20
10,100,lora,LoRA,65.29166666666666,64.41857938462914,66.16475394870417,1.865513689452871,64.77826597205039,81.375,1832,20
10,100,lora_matched,LoRA (DoRA-matched budget),65.91666666666666,64.79984224564068,67.03349108769264,2.3863035105460577,65.45298052985136,81.55555555555554,2024,20
10,100,lora_plus,LoRA+,62.98611111111111,61.85521786961307,64.11700435260914,2.416364167395651,62.556387699071415,79.5138888888889,1832,20
20,200,dora,DoRA,70.65277777777779,69.45733981393309,71.84821574162248,2.5542759954532452,69.99401038766742,78.30555555555556,2034,20
20,200,dora_budgeted,DoRA (LoRA-budget ceiling),70.98611111111111,69.99920221345401,71.97302000876822,2.108714783389828,70.51879514482884,80.01388888888889,1768,20
20,200,lora,LoRA,69.73611111111111,68.61422061953436,70.85800160268786,2.397128114407132,69.17989546528422,79.87499999999999,1832,20
20,200,lora_matched,LoRA (DoRA-matched budget),70.55555555555554,69.25414779403239,71.8569633170787,2.780700217068712,70.07491138246411,79.86111111111111,2024,20
20,200,lora_plus,LoRA+,68.90277777777777,67.93958844381106,69.86596711174448,2.0580335151104165,68.40139821856555,81.61111111111111,1832,20
40,400,dora,DoRA,74.86111111111111,73.84837901495617,75.87384320726606,2.1638908594755653,74.38895619037325,78.04166666666667,2034,20
40,400,dora_budgeted,DoRA (LoRA-budget ceiling),74.27777777777779,73.36882562231402,75.18672993324155,1.9421456754222657,73.91728492594265,79.02777777777777,1768,20
40,400,lora,LoRA,74.16666666666666,72.99929458385432,75.33403874947899,2.494308010178902,73.76563584976307,77.30555555555556,1832,20
40,400,lora_matched,LoRA (DoRA-matched budget),74.18055555555557,72.99918954291583,75.36192156819531,2.5242086492093594,73.96249496599725,76.83333333333334,2024,20
40,400,lora_plus,LoRA+,73.31944444444444,72.33253554678734,74.30635334210154,2.108714783389827,72.9804997242432,78.375,1832,20
