per_class,adaptation_examples,method_id,method,allocation,selected_learning_rate,trainable_parameters,target_accuracy_mean,target_accuracy_std,target_macro_f1_mean,target_nll_mean,clean_accuracy_mean,validation_accuracy_mean,best_epoch_mean,train_seconds_sum,n_seeds
5,50,dora,DoRA,4-4-4,0.03,2034,0.6147222222222222,0.020632068757363543,0.6067451774065395,1.593106108903885,0.8111111111111111,0.63125,21.75,3.667744558999857,20
5,50,dora_budgeted,DoRA (LoRA-budget ceiling),4-3-3,0.03,1768,0.6143055555555555,0.017895148917397356,0.6069163478483703,1.608877718448639,0.820138888888889,0.6381944444444445,22.95,3.756215035000878,20
5,50,lora,LoRA,4-4-4,0.03,1832,0.6101388888888889,0.01865078254145674,0.6035276645684415,2.055074620246887,0.8261111111111111,0.6311111111111111,18.4,3.0949530709999635,20
5,50,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.6165277777777778,0.02331862178940357,0.6110215986409405,2.0674306213855744,0.8402777777777779,0.6322222222222222,18.65,3.079244942000514,20
5,50,lora_plus,LoRA+,4-4-4,0.003,1832,0.5901388888888889,0.01876366731681441,0.5835602293940674,2.225220537185669,0.8680555555555556,0.60875,18.65,3.1103908709997086,20
10,100,dora,DoRA,4-4-4,0.03,2034,0.6581944444444444,0.02671163058626332,0.6533352247147993,1.2380403220653533,0.7841666666666667,0.6901388888888889,22.6,4.762739339000291,20
10,100,dora_budgeted,DoRA (LoRA-budget ceiling),4-3-3,0.03,1768,0.6648611111111111,0.026077728442633674,0.6603280277705268,1.2383642077445984,0.7870833333333334,0.6888888888888889,22.9,4.912780914999985,20
10,100,lora,LoRA,4-4-4,0.03,1832,0.6529166666666667,0.018655136894528686,0.647782659720504,1.7651797473430633,0.81375,0.6861111111111111,21.9,4.186600733999967,20
10,100,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.6591666666666667,0.0238630351054606,0.6545298052985136,1.765953540802002,0.8155555555555555,0.6913888888888888,24.1,4.4095549929998015,20
10,100,lora_plus,LoRA+,4-4-4,0.003,1832,0.6298611111111112,0.02416364167395653,0.625563876990714,1.8285160601139068,0.795138888888889,0.6605555555555556,34.9,5.5174658400001135,20
20,200,dora,DoRA,4-4-4,0.03,2034,0.7065277777777779,0.025542759954532448,0.6999401038766743,1.0073951125144958,0.7830555555555556,0.7404166666666667,24.2,7.061027773002024,20
20,200,dora_budgeted,DoRA (LoRA-budget ceiling),4-3-3,0.03,1768,0.7098611111111112,0.02108714783389828,0.7051879514482884,0.9870517045259476,0.8001388888888888,0.7404166666666667,22.9,6.845133621000059,20
20,200,lora,LoRA,4-4-4,0.03,1832,0.6973611111111111,0.02397128114407133,0.6917989546528421,1.4293193817138672,0.79875,0.7333333333333333,28.65,6.926862623000943,20
20,200,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.7055555555555555,0.02780700217068712,0.700749113824641,1.4713095009326935,0.798611111111111,0.7352777777777778,29.0,6.91982533899909,20
20,200,lora_plus,LoRA+,4-4-4,0.003,1832,0.6890277777777778,0.02058033515110417,0.6840139821856556,1.354044932126999,0.8161111111111111,0.72375,36.85,8.093059519999315,20
40,400,dora,DoRA,4-4-4,0.03,2034,0.7486111111111111,0.02163890859475565,0.7438895619037325,0.8055013239383697,0.7804166666666666,0.7761111111111111,15.8,8.446637687999555,20
40,400,dora_budgeted,DoRA (LoRA-budget ceiling),4-3-3,0.03,1768,0.7427777777777778,0.019421456754222667,0.7391728492594266,0.8034291476011276,0.7902777777777777,0.7773611111111112,16.75,8.971665332999237,20
40,400,lora,LoRA,4-4-4,0.03,1832,0.7416666666666667,0.024943080101789028,0.7376563584976307,1.0793361425399781,0.7730555555555556,0.7716666666666667,22.6,8.424857345999499,20
40,400,lora_matched,LoRA (DoRA-matched budget),5-4-4,0.03,2024,0.7418055555555556,0.025242086492093606,0.7396249496599726,1.143533930182457,0.7683333333333333,0.7755555555555556,22.8,8.753160352000577,20
40,400,lora_plus,LoRA+,4-4-4,0.003,1832,0.7331944444444444,0.02108714783389827,0.7298049972424319,1.0505229145288468,0.7837500000000001,0.7644444444444445,33.1,10.673222154000086,20
