scenario,method,rank,trainable_parameters,target_accuracy_mean,target_accuracy_std,target_macro_f1_mean,clean_accuracy_mean,validation_accuracy_mean,best_epoch_mean,n_seeds
contrast,DoRA,1,660,0.9555555555555555,0.011283386673105536,0.9555664994450149,0.75,0.9588888888888889,40.0,5
contrast,DoRA,2,1118,0.9544444444444444,0.01220326813138269,0.9543766373082235,0.7738888888888888,0.9577777777777777,20.8,5
contrast,DoRA,4,2034,0.9505555555555556,0.012329078345095642,0.9504114896628592,0.8094444444444445,0.9505555555555555,8.2,5
contrast,DoRA,8,3866,0.9544444444444444,0.010686324478706311,0.9542492024221912,0.7716666666666667,0.9533333333333334,6.6,5
contrast,Frozen,0,0,0.775,0.0,0.7329448733881521,0.975,0.7722222222222223,0.0,5
contrast,Full fine-tuning,0,17226,0.9638888888888889,0.0043920523057894,0.9639392721370141,0.9227777777777778,0.9583333333333334,12.0,5
contrast,LoRA,1,458,0.9527777777777778,0.005555555555555606,0.9527716855000392,0.7305555555555555,0.9494444444444443,9.2,5
contrast,LoRA,2,916,0.9494444444444443,0.007190099503080442,0.9492408813709542,0.7872222222222222,0.9516666666666665,9.0,5
contrast,LoRA,4,1832,0.9472222222222222,0.009212846639876144,0.9471626896759104,0.8244444444444443,0.9505555555555555,18.8,5
contrast,LoRA,8,3664,0.9477777777777778,0.008871510790372943,0.9473277419238542,0.8088888888888889,0.9516666666666665,11.8,5
contrast,Magnitude-only,0,202,0.97,0.002324055629261316,0.9699406877853869,0.9088888888888889,0.9672222222222222,15.4,5
mixed,DoRA,1,660,0.7061111111111111,0.014487116456005868,0.7022490372392267,0.7455555555555555,0.7327777777777778,35.4,5
mixed,DoRA,2,1118,0.7283333333333333,0.026013410596540363,0.7252384478950262,0.7705555555555555,0.7583333333333334,35.4,5
mixed,DoRA,4,2034,0.7472222222222222,0.02307395517477246,0.7427205906197045,0.763888888888889,0.7766666666666666,22.2,5
mixed,DoRA,8,3866,0.7733333333333333,0.009541980020732045,0.7694162325512216,0.7472222222222222,0.7816666666666666,43.4,5
mixed,Frozen,0,0,0.5083333333333333,0.0,0.5026981153315153,0.975,0.4805555555555555,0.0,5
mixed,Full fine-tuning,0,17226,0.7333333333333333,0.021245914639969915,0.7307336602126068,0.8694444444444445,0.7722222222222223,80.8,5
mixed,LoRA,1,458,0.6788888888888889,0.02442233848925916,0.6745703758106542,0.8022222222222222,0.7255555555555555,32.4,5
mixed,LoRA,2,916,0.7255555555555555,0.00929622251704529,0.7216488747832102,0.795,0.7516666666666667,37.8,5
mixed,LoRA,4,1832,0.7333333333333333,0.02160604053625565,0.7313952148524377,0.7627777777777778,0.7672222222222222,31.0,5
mixed,LoRA,8,3664,0.7544444444444445,0.012668615834434844,0.7528592325791937,0.78,0.7777777777777778,32.4,5
mixed,Magnitude-only,0,202,0.6588888888888889,0.020731231285605962,0.6540035001425692,0.9055555555555556,0.6900000000000001,85.0,5
rotation,DoRA,1,660,0.9172222222222223,0.0150102845401181,0.9168643343670434,0.735,0.9238888888888889,70.8,5
rotation,DoRA,2,1118,0.9361111111111111,0.010393492741038696,0.9357124706196356,0.7161111111111111,0.9338888888888889,41.6,5
rotation,DoRA,4,2034,0.9394444444444444,0.009296222517045243,0.9389656270220325,0.7222222222222222,0.9416666666666667,49.2,5
rotation,DoRA,8,3866,0.9422222222222223,0.011180339887498916,0.9416648470216142,0.6894444444444444,0.9472222222222222,26.0,5
rotation,Frozen,0,0,0.5166666666666667,0.0,0.5047112152542345,0.975,0.5111111111111111,0.0,5
rotation,Full fine-tuning,0,17226,0.9322222222222223,0.012969575033254143,0.932028458738632,0.7466666666666667,0.93,95.4,5
rotation,LoRA,1,458,0.9088888888888889,0.0190839600414641,0.908688104927073,0.755,0.9233333333333335,60.0,5
rotation,LoRA,2,916,0.9311111111111112,0.0060220787190774176,0.9307275892104633,0.7344444444444445,0.9311111111111112,40.6,5
rotation,LoRA,4,1832,0.9327777777777777,0.008651339723554105,0.9322805351789392,0.7522222222222222,0.9438888888888888,48.0,5
rotation,LoRA,8,3664,0.946111111111111,0.011882916464559681,0.9457057534693035,0.6944444444444444,0.9466666666666667,40.8,5
rotation,Magnitude-only,0,202,0.865,0.017413808909619403,0.8632786622351496,0.8094444444444445,0.865,110.6,5
