scenario,rank,mean_delta_pp,ci95_low_pp,ci95_high_pp,std_delta_pp,n_seeds
contrast,1,0.27777777777778345,-1.5472967506385047,2.1028523061940714,1.4698618394803318,5
contrast,2,0.5000000000000049,-0.4570771569864862,1.457077156986496,0.7708020514173185,5
contrast,4,0.3333333333333388,-1.5144137976699221,2.1810804643366,1.4881216928865446,5
contrast,8,0.6666666666666687,-1.2474876473062864,2.580820980639624,1.5416041028346152,5
mixed,1,2.7222222222222188,-0.1572837081718652,5.601728152616303,2.3190701627490857,5
mixed,2,0.2777777777777767,-2.648852332505831,3.2044078880613847,2.357022603955157,5
mixed,4,1.3888888888888906,0.07552343277226603,2.702254345005515,1.0577462647033227,5
mixed,8,1.8888888888888888,0.3973918635946676,3.38038591418311,1.2012082394688697,5
rotation,1,0.8333333333333371,-0.9753724830144933,2.6420391496811675,1.4566789557918804,5
rotation,2,0.5000000000000027,-1.2314177228059289,2.231417722805934,1.3944333775567808,5
rotation,4,0.6666666666666532,0.20392581580035596,1.1294075175329503,0.3726779962499636,5
rotation,8,-0.3888888888888853,-0.9660281298241871,0.1882503520464165,0.46481112585225326,5
