architecture,scenario,comparison,numerator,comparator,family,mean_delta_pp,ci95_low_pp,ci95_high_pp,std_delta_pp,paired_effect_dz,paired_t_statistic,paired_t_p,wilcoxon_p,wins,ties,losses,n_pairs,paired_t_p_holm,wilcoxon_p_holm
mlp,contrast,dora_vs_lora,dora,lora,mlp_primary,-0.19444444444444708,-0.5373666814030458,0.14847779251415166,0.7327172673631682,-0.26537445356541806,-1.1867906353282724,0.2499378507276821,0.21429529073886844,7,4,9,20,0.7727621664689519,0.7347678610234443
mlp,contrast,dora_vs_lora_plus,dora,lora_plus,mlp_primary,-0.7083333333333364,-1.2308663529516068,-0.18580031371506578,1.1164891773639867,-0.6344291979665223,-2.8372536271276303,0.010531784080134552,0.01297580498826408,3,2,15,20,0.07372248856094187,0.10004543336036376
mlp,contrast,dora_vs_lora_matched,dora,lora_matched,mlp_primary,0.43055555555555564,-0.05307809190318019,0.9141892030142915,1.033373419331887,0.41665050358458533,1.8633176977493053,0.07794972267496035,0.07720407976653054,14,2,4,20,0.38974861337480177,0.40240987735422
mlp,contrast,dora_budgeted_vs_lora,dora_budgeted,lora,mlp_secondary,0.2916666666666673,-0.10730841459173995,0.6906417479250746,0.8524846153997068,0.34213716165412883,1.5300839021749326,0.14247547238142638,0.21429529073886844,11,4,5,20,0.3470887135215107,0.4285905814777369
cnn,contrast,dora_vs_lora,dora,lora,cnn_replication,-0.3055555555555589,-1.1138067731442964,0.5026956620331786,1.129857293391227,-0.27043729977477476,-0.8551978315540292,0.4146273489363583,0.3515625,3,1,6,10,0.9018003819577289,0.734375
cnn,contrast,dora_vs_lora_plus,dora,lora_plus,cnn_replication,1.3888888888888917,0.525267321855133,2.2525104559226503,1.207259704667161,1.1504474832710545,3.638034375544991,0.005417433388260808,0.0078125,8,1,1,10,0.03250460032956485,0.046875
mlp,rotation,dora_vs_lora,dora,lora,mlp_primary,0.41666666666666413,-0.2872277462876988,1.120561079621027,1.504001593324465,0.2770387135998032,1.238954792016511,0.2304501289661938,0.26561165647836693,10,3,7,20,0.7727621664689519,0.7347678610234443
mlp,rotation,dora_vs_lora_plus,dora,lora_plus,mlp_primary,1.4999999999999956,0.7509242068220211,2.24907579317797,1.6005400323208774,0.9371836815758411,4.191212838814196,0.0004951439019634926,0.001982719822826747,16,2,2,20,0.004456295117671433,0.01784447840544072
mlp,rotation,dora_vs_lora_matched,dora,lora_matched,mlp_primary,-2.220446049250313e-15,-0.5627362853791622,0.5627362853791578,1.2023909470732241,-1.8466922548403807e-15,-8.258658830690914e-15,0.9999999999999934,0.8242731181746656,9,1,10,20,0.9999999999999934,0.8242731181746656
mlp,rotation,dora_budgeted_vs_lora,dora_budgeted,lora,mlp_secondary,-0.041666666666667074,-0.7273489985749418,0.6440156652416077,1.4650880881069621,-0.028439700660254842,-0.12718620787215096,0.9001294334752848,0.9518419613523096,10,1,9,20,0.9001294334752848,0.9518419613523096
cnn,rotation,dora_vs_lora,dora,lora,cnn_replication,0.36111111111111427,-0.3826895532547264,1.104911775476955,1.0397616324911,0.3473018236362027,1.0982647982205023,0.30060012731924296,0.2421875,6,0,4,10,0.9018003819577289,0.734375
cnn,rotation,dora_vs_lora_plus,dora,lora_plus,cnn_replication,0.38888888888889306,-0.47574810655796596,1.253525884335752,1.2086791757096926,0.3217469918438461,1.0174533245341721,0.33550792291575393,0.359375,6,1,3,10,0.9018003819577289,0.734375
mlp,mixed,dora_vs_lora,dora,lora,mlp_primary,1.0555555555555545,-0.06643404207978354,2.1775451531908923,2.3973398729710214,0.4403028404343041,1.9690941637946937,0.06370210943669095,0.06706831289237,15,0,5,20,0.3822126566201457,0.40240987735422
mlp,mixed,dora_vs_lora_plus,dora,lora_plus,mlp_primary,1.430555555555555,0.45379369354534027,2.4073174175657694,2.0870337506957597,0.6854491716191207,3.065421885722547,0.006366901220922579,0.01250567917004547,14,1,5,20,0.05093520976738063,0.10004543336036376
mlp,mixed,dora_vs_lora_matched,dora,lora_matched,mlp_primary,0.5277777777777792,-0.2910790734605515,1.34663462901611,1.7496402674913012,0.30164930905169807,1.3490167208108792,0.19319054161723798,0.18369196525586107,11,1,8,20,0.7727621664689519,0.7347678610234443
mlp,mixed,dora_budgeted_vs_lora,dora_budgeted,lora,mlp_secondary,0.8194444444444438,-0.220993753010452,1.8598826418993395,2.2230901083018724,0.36860604137651615,1.6484563308699807,0.11569623784050356,0.0792170396478046,15,0,5,20,0.3470887135215107,0.2376511189434138
cnn,mixed,dora_vs_lora,dora,lora,cnn_replication,0.9166666666666655,0.09977658010064727,1.7335567532326839,1.141933599505248,0.8027320214273569,2.538461538461535,0.03179092810435863,0.01953125,8,0,2,10,0.15895464052179314,0.09765625
cnn,mixed,dora_vs_lora_plus,dora,lora_plus,cnn_replication,1.0277777777777763,-0.31684457281646794,2.3724001283720204,1.879652435548563,0.5467913952282496,1.7291062139025928,0.11785024784033926,0.18359375,6,1,3,10,0.47140099136135705,0.734375
